,Unnamed: 0,Title,City,Price(Rs),Tax+Charges(Rs),Total Price/night(Rs),Rating,Review,No of Reviews,Distance from Centre(km)
206,88,Bloom Hotel - Indiranagar,Bangalore,5000,600,5600,7.7,Good ,184,5.7
207,89,Capital O Boulevard Elite Madiwala Near Ragigudda Sri Prasanna Anjanayeswamy Temple,Bangalore,1007,163,1170,6.6,Good ,93,3.4
208,90,Atlaantic Inn,Bangalore,1445,173,1618,8.2,Very good ,445,5.9
209,91,FabExpress Ivory Pearl,Bangalore,1249,150,1399,7.0,Good ,176,2.3
210,92,"Treebo Trend Trinitywood - 3 Km Away From Chinnaswamy Stadium, Bangalore",Bangalore,1815,218,2033,9.0,Superb ,413,5.3
211,93,FabHotel Greenwood Xpress,Bangalore,1750,210,1960,7.7,Good ,48,6.5
212,94,Capital O VMK Paradise,Bangalore,922,145,1067,8.9,Fabulous ,1854,5.3
213,95,The Leela Palace Bengaluru,Bangalore,17000,3060,20060,10.0,Exceptional ,3,10.1
214,97,ZEKE HOTELS,Bangalore,1890,227,2117,8.5,Very good ,167,3.3
215,98,Temple Tree Hotel,Bangalore,2880,346,3226,8.0,Very good ,712,19.6
216,99,"Holiday Inn Express & Suites Bengaluru Old Madras Road, an IHG Hotel",Bangalore,4049,486,4535,8.7,Fabulous ,3,3.1
217,100,Place with a cosy and homely feel,Bangalore,4200,504,4704,7.1,Good ,52,25.7
218,101,Treebo Trend SK Suites,Bangalore,1690,203,1893,8.3,Very good ,318,0.9
219,102,JW Marriott Hotel Bengaluru,Bangalore,15000,2700,17700,6.8,Good ,309,2.8
220,103,Hotel Embassy,Bangalore,990,119,1109,8.4,Very good ,16,16.4
221,104,ROYAL ACE LUXUR,Bangalore,2250,270,2520,6.9,Good ,67,2.8
222,105,Sri Durgamba Lodge,Bangalore,830,100,930,7.8,Good ,122,3.9
223,106,"Treebo Trend Raj Premier - 4 Km Away From Chinnaswamy Stadium, Bangalore",Bangalore,3511,421,3932,6.2,Good ,522,3.7
224,107,BNGV Mystic Premier Hotel,Bangalore,3640,437,4077,7.6,Good ,103,1.4
225,108,Utse Suites,Bangalore,2750,330,3080,7.9,Good ,292,6.2
226,109,Olive BTM Layout - By Embassy Group,Bangalore,2944,353,3297,3.4,Good ,5,11.9
227,110,2BHK Lux Home Manyata Airport Hennur Pool Gym BH02,Bangalore,3500,420,3920,7.0,Good ,444,2.5
228,111,Hotel Apple Suites,Bangalore,1800,216,2016,8.3,Very good ,294,4.9
229,112,FabHotel S Comfort Inn,Bangalore,1819,218,2037,7.9,Good ,53,13.3
230,113,Super OYO Collection O Global Stay Near Kengeri Bus Terminal Metro Station,Bangalore,1301,216,1517,7.5,Good ,2,16.2
231,114,TS Suites,Bangalore,1120,134,1254,7.0,Good ,84,2.7
232,115,Hotel U.T.ELITE,Bangalore,1530,184,1714,6.9,Good ,486,4.7
233,116,Fairfield by Marriott Bengaluru Rajajinagar,Bangalore,5650,678,6328,7.6,Good ,84,5.1
234,117,Lazdana Hotel Bangalore,Bangalore,4589,551,5140,8.1,Very good ,130,9.1
235,118,Super OYO Townhouse 258 Spruce Hotels Bellandur,Bangalore,1611,227,1838,8.2,Very good ,24,5.9
236,119,Astra Hotels and Suites - Koramangala,Bangalore,1999,240,2239,8.6,Fabulous ,89,8.8
237,120,Stayhome Suites,Bangalore,2330,280,2610,8.2,Very good ,530,5.9
238,121,Grand Mercure Bangalore - An Accor Brand,Bangalore,9700,1746,11446,8.1,Very good ,118,3.8
239,122,Olive Indiranagar Metro - by Embassy Group,Bangalore,3018,422,3440,10.0,Exceptional ,2,13.1
240,123,Luxurious 3BHK in 23rd floor of Bhartiya City,Bangalore,5400,648,6048,8.4,Very good ,50,4.4
241,0,Courtyard by Marriott Chennai,Chennai,6000,1080,10915,8.2,Very good ,1384,1.7
242,1,"Radisson Blu Hotel GRT, Chennai International Airport",Chennai,9250,1665,6720,8.9,Fabulous ,422,7.2
243,2,Taj Club House,Chennai,6000,720,762,7.9,Good ,1412,4.0
244,3,Hotel Ambika Palace,Chennai,680,82,4536,7.8,Good ,53,2.0
245,4,Citadines OMR Chennai,Chennai,4050,486,546,8.4,Very good ,2261,5.0
246,5,OYO Flagship Grand Residency Near Kasi Talkies,Chennai,457,89,3413,5.1,Good ,22,1.3
247,6,Ibis Chennai OMR - An Accor Brand,Chennai,3047,366,3856,7.8,Good ,2463,15.6
248,7,Hotel Comfort Park - Opposite Sri Ramachandra Medical College Porur,Chennai,3443,413,9802,8.1,Very good ,254,4.7
249,8,Park Hyatt Chennai,Chennai,8307,1495,3852,8.8,Fabulous ,954,15.1
250,9,"Treebo Trend Elan - 4 Km Away From MA Chidambaram Stadium, Chennai",Chennai,3439,413,10029,7.0,Good ,384,10.2
251,10,Hyatt Regency Chennai,Chennai,8499,1530,1034,7.5,Good ,1507,3.5
252,11,OYO Flagship BKM Guest House,Chennai,893,141,3692,8.4,Very good ,979,1.7
253,12,FabHotel Nestlay Rooms Airport,Chennai,3296,396,4590,8.2,Very good ,1423,1.6
254,13,Novotel Chennai Sipcot,Chennai,4098,492,14750,8.4,Very good ,2463,0.6
255,14,"ITC Grand Chola, a Luxury Collection Hotel, Chennai",Chennai,12500,2250,7609,8.1,Very good ,1828,6.4
256,15,Novotel Chennai Chamiers Road,Chennai,6794,815,10915,8.7,Fabulous ,1317,23.3
257,16,Trident Chennai,Chennai,9250,1665,7466,8.2,Very good ,2014,3.6
258,17,Radisson Blu Hotel Chennai City Centre,Chennai,6666,800,5151,8.1,Very good ,1514,1.6
259,18,Novotel Chennai OMR,Chennai,4599,552,672,6.3,Good ,127,7.3
260,19,SIU Mansion,Chennai,600,72,454,1.6,Good ,13,3.8
261,20,SPOT ON Ams Annex,Chennai,375,79,3584,8.7,Fabulous ,86,15.1
262,21,Hotel Kamar Residences and Banquets,Chennai,3200,384,16886,8.7,Fabulous ,1818,5.1
263,22,The Leela Palace Chennai,Chennai,14310,2576,2164,7.9,Good ,506,1.3
